Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF,WPts,LPts,Pos,WPos,LPos,WOffRtg,LOffRtg,WDefRtg,LDefRtg,WNetRtg,LNetRtg,WAstR,LAstR,WTOR,LTOR,WTSP,LTSP,WeFGP,LeFGP,WFTAR,LFTAR,WORP,LORP,WDRP,LDRP,WRP,LRP,WPIE,LPIE
2003,134,1421,92,1411,84,N,1,32,69,11,29,17,26,14,30,17,12,5,3,22,29,67,12,31,14,31,17,28,16,15,5,0,22,114,108,75.3984,75.30239999999999,75.4944,151.38959714431414,143.05696846388608,143.05696846388608,151.38959714431414,8.332628680428058,-8.332628680428058,15.533625730994153,14.331780723754926,10.964912280701755,13.436044428520244,70.86026852312283,66.96428571428571,0.5434782608695652,0.5223880597014925,0.37681159420289856,0.4626865671641791,0.3333333333333333,0.3617021276595745,0.6382978723404256,0.6666666666666666,0.4943820224719101,0.5056179775280899,0.5625,0.4375
2003,136,1112,80,1436,51,N,0,31,66,7,23,11,14,11,36,22,16,10,7,8,20,64,4,16,7,7,8,26,12,17,10,3,15,94,59,73.5552,74.0736,73.0368,126.90081216519786,80.78119523308797,80.78119523308797,126.90081216519786,46.11961693210989,-46.11961693210989,19.970951343500364,12.489592006661116,14.524328249818446,17.693588676103246,65.13303769401331,43.977340488968395,0.5227272727272727,0.34375,0.21212121212121213,0.109375,0.2972972972972973,0.18181818181818182,0.8181818181818182,0.7027027027027027,0.5802469135802469,0.41975308641975306,0.7491408934707904,0.2508591065292096
2003,136,1113,84,1272,71,N,0,31,59,6,14,16,22,10,27,18,9,7,4,19,25,69,7,28,14,21,20,22,11,12,2,5,18,96,85,66.2016,64.9728,67.43039999999999,147.75413711583923,126.05590356871679,126.05590356871679,147.75413711583923,21.69823354712244,-21.69823354712244,18.812709030100333,10.865270644014224,9.406354515050166,11.85302252074279,69.889341875364,54.32004089979551,0.576271186440678,0.41304347826086957,0.3728813559322034,0.30434782608695654,0.3125,0.425531914893617,0.574468085106383,0.6875,0.46835443037974683,0.5316455696202531,0.643598615916955,0.356401384083045
2003,136,1141,79,1166,73,N,0,29,53,3,7,18,25,11,20,15,18,13,1,19,27,60,7,17,12,17,14,17,20,21,6,6,21,85,87,69.8304,68.16,71.5008,124.70657276995306,121.67696025778734,121.67696025778734,124.70657276995306,3.0296125121657127,-3.0296125121657127,15.463917525773196,18.436578171091444,18.556701030927837,19.358407079646017,66.40625,64.46354475400118,0.5754716981132075,0.5083333333333333,0.4716981132075472,0.2833333333333333,0.39285714285714285,0.4117647058823529,0.5882352941176471,0.6071428571428571,0.5,0.5,0.5419847328244275,0.4580152671755725
2003,136,1143,76,1301,74,N,1,27,64,7,20,15,23,18,20,17,13,8,2,14,25,56,9,21,15,20,10,26,16,14,5,8,19,90,92,66.2016,66.3552,66.048,135.63368055555557,139.29263565891472,139.29263565891472,135.63368055555557,-3.6589551033591476,3.6589551033591476,16.327314636957357,16.877637130801688,12.485593545908566,14.767932489451477,60.712358337830544,70.98765432098766,0.4765625,0.5267857142857143,0.359375,0.35714285714285715,0.4090909090909091,0.3333333333333333,0.6666666666666666,0.5909090909090909,0.5135135135135135,0.4864864864864865,0.48026315789473684,0.5197368421052632
2003,136,1163,58,1140,53,N,0,17,52,4,14,20,27,12,29,8,14,3,8,16,20,64,2,17,11,13,15,26,11,11,8,4,22,66,57,63.16799999999999,63.24479999999999,63.09119999999999,104.35640558591379,90.34540474741328,90.34540474741328,104.35640558591379,14.011000838500507,-14.011000838500507,9.315323707498836,11.993022241604885,16.301816488122963,11.993022241604885,51.65936130244208,40.87779690189329,0.36538461538461536,0.328125,0.5192307692307693,0.203125,0.3157894736842105,0.3409090909090909,0.6590909090909091,0.6842105263157895,0.5,0.5,0.5751633986928104,0.42483660130718953
2003,136,1181,67,1161,57,N,0,19,54,4,13,25,31,13,27,4,16,10,8,23,18,54,3,11,18,22,11,24,8,19,5,4,19,75,63,68.31360000000001,67.81439999999999,68.81280000000001,110.59597961494904,91.55273437499999,91.55273437499999,110.59597961494904,19.04324523994906,-19.04324523994906,4.564125969876769,8.822232024702249,18.256503879507076,20.95280105866784,55.440567711413365,49.46608040201005,0.3888888888888889,0.3611111111111111,0.5740740740740741,0.4074074074074074,0.35135135135135137,0.2894736842105263,0.7105263157894737,0.6486486486486487,0.5333333333333333,0.4666666666666667,0.6118421052631579,0.3881578947368421
2003,136,1211,74,1153,69,N,0,20,47,6,14,28,37,8,28,12,12,2,2,15,26,66,10,27,7,10,13,22,13,10,7,6,24,86,89,64.6464,64.58879999999999,64.70400000000001,133.1500198176774,137.54945598417407,137.54945598417407,133.1500198176774,-4.399436166496685,4.399436166496685,13.748854262144821,13.918629550321198,13.748854262144821,10.70663811563169,67.9519595448799,63.210227272727266,0.48936170212765956,0.4696969696969697,0.7872340425531915,0.15151515151515152,0.26666666666666666,0.3170731707317073,0.6829268292682927,0.7333333333333333,0.5070422535211268,0.49295774647887325,0.5243445692883895,0.4756554307116105
2003,136,1228,65,1443,60,N,0,24,56,5,14,12,14,15,23,15,14,11,4,14,22,58,8,24,8,13,17,18,10,14,6,5,16,75,76,58.502399999999994,58.71359999999999,58.291199999999996,127.73871811641597,130.37988581466843,130.37988581466843,127.73871811641597,-2.6411676982524597,2.6411676982524597,16.45458534444932,11.399908800729595,15.357612988152699,15.959872321021432,60.328185328185334,59.635907093534215,0.4732142857142857,0.4482758620689655,0.25,0.22413793103448276,0.45454545454545453,0.425,0.575,0.5454545454545454,0.5205479452054794,0.4794520547945205,0.588477366255144,0.411522633744856
2003,136,1242,64,1429,61,N,0,28,51,2,6,6,11,7,20,13,11,8,4,17,23,56,6,17,9,10,13,19,13,13,6,1,15,68,73,57.7152,57.446400000000004,57.984,118.37121212121211,125.89679911699778,125.89679911699778,118.37121212121211,-7.525586995785673,7.525586995785673,16.28256513026052,15.046296296296296,13.77755511022044,15.046296296296296,60.88825214899713,60.43046357615894,0.5686274509803921,0.4642857142857143,0.21568627450980393,0.17857142857142858,0.2692307692307692,0.3939393939393939,0.6060606060606061,0.7307692307692307,0.4576271186440678,0.5423728813559322,0.5109170305676856,0.4890829694323144
